City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ribeira Grande,100,PT,1545530895,100,38.52,-28.7,57.22,9.06
Ushuaia,40,AR,1545526800,65,-54.81,-68.31,50.0,24.16
Cidreira,8,BR,1545530900,97,-30.17,-50.22,68.34,5.1
Ust-Maya,56,RU,1545530902,32,60.42,134.54,-22.57,3.53
Cape Town,0,ZA,1545526800,94,-33.93,18.42,68.0,9.17
Bambanglipuro,48,ID,1545530906,90,-7.95,110.28,81.66,4.25
Jiuquan,0,CN,1545530908,42,39.73,98.49,-5.02,0.85
Zhanakorgan,24,KZ,1545530911,65,43.91,67.25,-4.07,3.02
Victoria,75,BN,1545528600,83,5.28,115.24,82.4,2.24
Bubaque,0,GW,1545530916,100,11.28,-15.83,79.32,9.62
Jamestown,0,AU,1545530918,33,-33.21,138.6,79.41,4.59
Carnarvon,0,ZA,1545530921,44,-30.97,22.13,62.98,10.36
The Valley,20,AI,1545526800,74,18.22,-63.06,78.8,6.93
Soma,75,JP,1545526800,87,37.8,140.92,42.8,3.36
Tabanan,40,ID,1545528600,79,-8.54,115.13,84.2,6.93
Mazamari,56,PE,1545530930,94,-11.33,-74.53,65.37,0.85
Tasiilaq,68,GL,1545526200,85,65.61,-37.64,23.0,5.26
Tiksi,0,RU,1545530934,0,71.64,128.87,-39.85,3.76
Tiarei,20,PF,1545530400,59,-17.53,-149.33,89.6,4.7
San Patricio,76,PY,1545530939,88,-26.98,-56.83,74.41,4.54
Nicoya,20,CR,1545530400,69,10.15,-85.45,75.2,4.7
Longyearbyen,75,NO,1545529800,73,78.22,15.63,19.4,20.8
Talnakh,44,RU,1545530946,49,69.49,88.39,-29.9,9.28
Bluff,20,AU,1545530948,82,-23.58,149.07,81.66,15.17
Perth,0,GB,1545529800,100,56.4,-3.43,41.0,6.93
Clyde River,75,CA,1545527700,68,70.47,-68.59,-16.61,12.75
Port Blair,0,IN,1545530690,100,11.67,92.75,82.87,10.8
College,40,US,1545530160,69,64.86,-147.8,-11.38,2.68
Lorengau,44,PG,1545530959,100,-2.02,147.27,84.76,5.82
Vila Velha,20,BR,1545526800,83,-3.71,-38.6,80.6,8.05
Flinders,90,AU,1545526800,56,-34.58,150.85,69.8,10.29
Butaritari,68,KI,1545530966,100,3.07,172.79,82.47,6.38
Marfino,90,RU,1545528600,92,56.07,37.56,17.6,11.18
Mehamn,80,NO,1545530970,100,71.03,27.85,12.27,7.0
Ahuimanu,40,US,1545526620,69,21.44,-157.84,82.94,8.05
Novokayakent,90,RU,1545528600,93,42.39,47.99,39.2,2.01
Avarua,75,CK,1545530400,78,-21.21,-159.78,82.4,13.87
Saurimo,92,AO,1545530980,99,-9.66,20.4,65.68,4.09
Acapulco,5,MX,1545529200,65,16.86,-99.88,80.6,4.7
Emerald,40,AU,1545526800,55,-23.53,148.16,87.8,19.46
Byron Bay,75,AU,1545528600,53,-28.65,153.62,77.0,21.92
Khatanga,76,RU,1545530989,75,71.98,102.47,-16.99,20.02
Kavaratti,0,IN,1545530991,100,10.57,72.64,83.05,8.34
Moroni,12,US,1545530923,74,39.52,-111.59,13.12,1.3
Awbari,92,LY,1545530996,72,26.59,12.77,44.31,7.38
Nantucket,1,US,1545529980,66,41.28,-70.1,39.02,17.22
Saint George,40,GR,1545526200,75,39.45,22.34,44.6,3.53
Hermanus,0,ZA,1545531002,100,-34.42,19.24,54.39,2.68
Port-Gentil,76,GA,1545531006,100,-0.72,8.78,78.69,6.55
Port Elizabeth,90,US,1545530160,57,39.31,-74.98,44.06,10.29
Dzhebariki-Khaya,44,RU,1545531010,45,62.22,135.8,-28.6,2.24
Kruisfontein,76,ZA,1545531012,87,-34.0,24.73,65.32,6.6
Souillac,90,FR,1545528600,100,45.6,-0.6,55.4,5.82
Christchurch,0,NZ,1545530400,62,-43.53,172.64,59.0,10.29
Saint-Philippe,90,CA,1545528900,74,45.36,-73.48,26.6,5.82
Dikson,88,RU,1545531021,98,73.51,80.55,10.96,34.23
Rawson,36,AR,1545531024,25,-43.3,-65.11,76.3,13.31
Nhulunbuy,75,AU,1545528600,56,-12.18,136.78,93.2,6.93
Sao Joao da Barra,0,BR,1545531028,95,-21.64,-41.05,79.99,18.01
Upernavik,36,GL,1545531001,100,72.79,-56.15,-1.73,10.51
Sao Felix do Xingu,8,BR,1545531032,100,-6.64,-51.99,69.87,2.08
Kupang,75,ID,1545528600,83,-10.16,123.6,82.4,4.7
Kavieng,88,PG,1545531037,100,-2.57,150.8,78.73,4.09
At-Bashi,8,KG,1545531039,54,41.17,75.81,-6.1,1.45
Avera,1,US,1545530100,88,33.19,-82.53,39.92,3.24
Nikki,0,BJ,1545531044,58,9.94,3.21,57.85,5.03
Hithadhoo,0,MV,1545531046,100,-0.6,73.08,82.51,8.12
Pianco,88,BR,1545531048,52,-7.2,-37.93,80.44,8.9
Bati,76,ET,1545531050,85,11.19,40.02,58.84,2.98
Witbank,32,ZA,1545531053,85,-25.87,29.23,58.39,6.04
Hasaki,75,JP,1545530400,87,35.73,140.83,53.6,3.36
Nemuro,75,JP,1545530400,74,43.32,145.57,33.8,16.06
Praia,44,BR,1545531060,97,-20.25,-43.81,61.9,2.68
Oranjemund,20,ZA,1545531062,96,-28.55,16.43,63.16,14.16
Lagoa,0,PT,1545528600,76,37.14,-8.45,53.6,6.93
Vila Franca do Campo,75,PT,1545528600,93,37.72,-25.43,59.0,20.8
Bridge City,75,US,1545530100,97,30.02,-93.85,62.96,6.93
Atuona,64,PF,1545531071,100,-9.8,-139.03,80.35,16.28
Ostrovnoy,12,RU,1545531073,85,68.05,39.51,6.91,14.32
Polewali,88,ID,1545531076,77,-4.03,119.8,82.69,14.43
La Rioja,12,AR,1545531078,58,-29.41,-66.86,74.01,4.47
Luderitz,0,NA,1545531080,72,-26.65,15.16,60.69,18.19
Lokosovo,0,RU,1545531082,43,61.13,74.84,-26.75,6.6
Lebu,20,ET,1545526800,81,8.96,38.73,51.8,2.24
Olga,1,US,1545529980,74,34.11,-118.17,62.06,6.93
Iracoubo,88,GF,1545531089,82,5.48,-53.21,76.75,5.1
Ilo,92,PE,1545531091,100,-17.65,-71.34,63.39,3.53
Nome,75,US,1545530100,86,30.04,-94.42,63.68,8.05
Vao,92,EE,1545531096,87,59.1,26.19,22.44,4.25
Mindelo,0,PT,1545528600,87,41.31,-8.72,53.6,8.05
Ahipara,92,NZ,1545531100,89,-35.17,173.16,70.63,8.5
Jiayuguan,0,CN,1545531103,42,39.77,98.29,-5.02,0.85
Tuatapere,0,NZ,1545531105,84,-46.13,167.69,59.47,6.71
Eureka,90,US,1545530100,100,40.8,-124.16,48.02,4.7
Jian,0,IN,1545531110,69,25.65,87.89,58.71,7.56
Mayo,5,CA,1545526800,74,63.59,-135.9,-23.81,2.86
Aklavik,90,CA,1545526800,76,68.22,-135.01,-4.01,2.24
Methoni,0,GR,1545531116,100,36.82,21.7,62.35,21.43
Pilar,0,AR,1545530400,73,-34.46,-58.91,73.4,5.82
Severo-Kurilsk,36,RU,1545531121,100,50.68,156.12,31.93,7.34
Yulara,0,AU,1545526800,10,-25.24,130.99,86.0,17.22
Sikeston,1,US,1545530100,93,36.88,-89.59,39.2,7.27
Labuhan,24,ID,1545531128,67,-2.54,115.51,85.66,5.48
Vardo,20,US,1545530100,62,39.62,-77.74,42.8,13.87
Isla Vista,1,US,1545529860,71,34.41,-119.86,59.0,4.7
Alice Springs,0,AU,1545528600,12,-23.7,133.88,82.4,16.11
Cayenne,92,GF,1545528600,94,4.94,-52.33,75.2,4.7
Provideniya,44,RU,1545531139,100,64.42,-173.23,3.94,7.11
Panaba,0,MX,1545531141,68,21.28,-88.27,63.39,5.88
Hargeysa,24,SO,1545531143,91,9.56,44.06,47.19,7.56
Mar del Plata,64,AR,1545531146,43,-46.43,-67.52,68.56,8.57
Pingliang,76,CN,1545531148,70,35.54,106.68,16.27,3.47
Hambantota,20,LK,1545527400,100,6.12,81.12,75.2,4.7
Negara,76,ID,1545531153,100,-8.36,114.62,76.03,2.57
Alekseyevsk,44,RU,1545531155,62,57.84,108.35,3.22,4.36
Vanavara,0,RU,1545531157,0,60.35,102.28,-33.32,6.33
Montepuez,92,MZ,1545531159,100,-13.13,39.0,68.2,4.54
Lavrentiya,68,RU,1545531161,100,65.58,-170.99,7.27,14.43
Gambela,32,ET,1545531164,78,8.25,34.59,64.33,0.34
George,0,NG,1545531111,94,6.63,3.35,76.21,6.11
Roblin,76,CA,1545531168,84,51.23,-101.35,14.74,13.6
Mahebourg,75,MU,1545530400,78,-20.41,57.7,78.8,16.11
Khandyga,44,RU,1545531173,45,62.65,135.58,-28.6,2.24
Medicine Hat,5,CA,1545526800,78,50.04,-110.68,12.2,9.17
Stokmarknes,92,NO,1545531177,100,68.56,14.91,33.82,14.65
Arcata,90,US,1545530100,100,40.87,-124.08,48.02,4.7
Puerto Madryn,0,AR,1545531182,56,-42.77,-65.04,70.09,2.86
Kaitangata,0,NZ,1545531184,71,-46.28,169.85,63.16,6.55
Agirish,0,RU,1545531186,30,61.92,63.02,-20.5,2.57
Saint-Chamond,90,FR,1545528600,100,45.47,4.51,48.2,1.12
Batagay-Alyta,36,RU,1545531191,0,67.8,130.41,-47.18,3.47
Khasan,0,RU,1545531193,100,42.43,130.64,24.73,17.9
Tiete,90,BR,1545530400,73,-23.1,-47.71,73.4,9.17
Maracas,20,TT,1545526800,78,10.76,-61.44,77.0,9.06
Cedar City,1,US,1545529980,68,37.68,-113.06,30.92,5.82
Ayabaca,64,PE,1545531202,96,-4.64,-79.72,59.83,1.68
Anadyr,0,RU,1545526800,75,64.73,177.51,-14.81,4.47
Itoman,75,JP,1545530400,69,26.12,127.67,75.38,11.41
Minab,0,IR,1545530400,77,27.15,57.07,62.6,10.74
Arica,48,CL,1545530400,68,-18.48,-70.32,69.8,5.82
Aitape,44,PG,1545531213,88,-3.15,142.36,84.54,8.5
Hamilton,90,CA,1545527880,74,43.26,-79.87,32.0,9.17
Faanui,68,PF,1545531218,99,-16.48,-151.75,84.09,16.33
Half Moon Bay,1,US,1545530160,69,37.46,-122.43,55.4,5.82
Lazurne,76,UA,1545531222,90,46.77,34.99,35.71,9.91
Broken Hill,0,AU,1545526800,19,-31.97,141.45,78.8,11.41
Brae,44,GB,1545529800,100,60.4,-1.35,42.8,1.12
Lydenburg,80,ZA,1545531229,100,-25.1,30.46,61.36,2.19
Aras,0,YE,1545531231,59,14.28,44.38,23.16,2.46
Balabac,76,PH,1545531233,100,7.99,117.06,81.7,5.82
Hot Springs,1,US,1545529980,85,34.5,-93.06,51.08,2.75
Poum,76,MK,1545531238,93,41.28,20.71,29.23,1.97
Mao,20,DO,1545530400,94,19.55,-71.08,73.4,4.7
Havoysund,92,NO,1545529800,100,71.0,24.66,32.0,20.8
Bandarbeyla,92,SO,1545531244,100,9.49,50.81,75.22,20.36
Ritchie,0,ZA,1545530400,24,-29.03,24.6,68.0,3.36
Alofi,64,NU,1545526800,74,-19.06,-169.92,86.0,14.99
Bagotville,40,AU,1545526800,64,-28.98,153.42,77.0,19.46
Tecpan,0,GT,1545530400,76,14.76,-90.99,57.2,16.11
Abtenau,75,AT,1545529800,87,47.56,13.35,42.8,21.92
Bambous Virieux,75,MU,1545530400,78,-20.34,57.76,78.8,16.11
Tomatlan,0,MX,1545531260,92,19.93,-105.25,61.77,2.35
Salamiyah,92,SY,1545531263,86,35.01,37.05,38.01,3.58
Fez,0,MA,1545528600,81,34.03,-5.02,51.8,6.93
Mgachi,44,RU,1545531267,96,51.05,142.27,21.94,11.41
Pimentel,80,BR,1545531269,95,-3.7,-45.5,75.13,2.53
Palmer,1,US,1545530280,87,61.6,-149.11,28.04,3.36
Ilulissat,92,GL,1545529800,92,69.22,-51.1,23.0,5.82
Madimba,40,CM,1545526800,94,4.42,9.93,78.8,1.12
Sao Filipe,56,CV,1545531279,96,14.9,-24.5,74.64,9.28
Shenjiamen,64,CN,1545531281,96,29.96,122.3,55.96,20.54
Batemans Bay,8,AU,1545531283,76,-35.71,150.18,68.56,4.54
Sampit,12,ID,1545531285,87,-2.54,112.95,86.47,8.23
Tarija,80,BO,1545531288,99,-21.53,-64.73,51.42,2.3
Portland,90,US,1545529980,82,45.52,-122.67,44.06,18.34
Norman Wells,75,CA,1545526800,82,65.28,-126.83,-16.61,2.24
Temir,48,KZ,1545531294,67,49.14,57.13,-9.29,3.31
Tuktoyaktuk,90,CA,1545526800,84,69.44,-133.03,-0.41,6.93
Sorong,36,ID,1545531299,100,-0.86,131.25,82.06,9.28
Leopold,1,US,1545530160,64,38.1,-86.58,37.94,4.7
Santa Cruz,1,US,1545529800,58,36.97,-122.03,57.02,8.05
Aripuana,32,BR,1545531306,92,-9.17,-60.63,76.66,2.01
Puri,20,ID,1545528600,74,-7.54,112.45,84.2,2.24
Bundaberg,75,AU,1545526800,61,-24.87,152.35,78.8,21.92
Jacareacanga,48,BR,1545531313,97,-6.22,-57.76,74.37,2.08
Port Augusta,0,AU,1545526800,41,-32.49,137.76,77.0,11.41
Morehead,1,US,1545530100,76,38.18,-83.43,33.98,4.7
Kiruna,20,SE,1545529800,76,67.86,20.23,-7.61,9.17
Jinchang,0,CN,1545531322,58,38.52,102.19,6.28,2.86
Castro,90,CL,1545530400,76,-42.48,-73.76,53.6,4.7
Prokopyevsk,76,RU,1545531327,84,53.89,86.74,2.77,4.7
Kalmunai,100,LK,1545531329,100,7.42,81.82,75.67,3.09
Coachella,1,US,1545530160,50,33.68,-116.18,59.0,3.36
Camabatela,80,AO,1545531333,95,-8.19,15.37,65.86,3.24
Plettenberg Bay,48,ZA,1545531335,98,-34.05,23.37,67.17,7.61
Wyndham,75,GB,1545529800,100,51.61,-3.54,48.2,6.93
Teshie,0,GH,1545531340,99,5.58,-0.11,83.14,6.55
Pevek,24,RU,1545531342,100,69.7,170.27,-25.94,6.82
Muisne,0,EC,1545531344,96,0.61,-80.02,72.16,3.09
Herat,40,AF,1545530100,80,34.35,62.22,35.6,4.7
Vostok,56,RU,1545531349,61,46.45,135.83,11.23,6.33
Klaksvik,0,FO,1545529800,93,62.23,-6.59,37.4,6.33
Huarmey,8,PE,1545531353,91,-10.07,-78.15,64.11,3.87
Durusu,90,TR,1545529800,100,37.53,40.83,39.2,4.7
Varhaug,20,NO,1545529800,92,58.61,5.65,30.2,2.24
Moju,0,BR,1545530400,88,-1.89,-48.77,75.2,3.36
Bara,0,NG,1545531351,40,10.41,10.6,60.19,9.51
Baruun-Urt,0,MN,1545531364,45,46.68,113.28,-3.17,13.76
Ewo,8,CG,1545531367,97,-0.88,14.81,69.28,4.59
Okhotsk,88,RU,1545531347,100,59.36,143.24,8.49,6.78
Tooele,1,US,1545530160,78,40.53,-112.3,30.92,4.7
Kokstad,36,ZA,1545531228,94,-30.55,29.42,57.85,2.57
Verkhnyaya Inta,64,RU,1545531375,63,65.99,60.32,0.88,3.87
Matadi,100,CD,1545531313,100,-5.83,13.46,73.96,3.09
Ukiah,90,US,1545526560,74,39.15,-123.21,48.92,2.19
Bilibino,32,RU,1545531382,0,68.06,166.44,-42.86,2.3
Muli,0,IN,1545531384,75,22.62,71.45,51.46,2.8
Sola,20,NO,1545529800,92,58.89,5.65,33.8,2.24
Tinskoy,64,RU,1545531389,69,56.15,96.92,6.96,5.82
Eastbourne,48,ZA,1545531391,85,-27.81,30.13,55.06,1.79
Baherden,32,TM,1545531393,94,38.44,57.43,24.82,3.2
Lakatoro,92,VU,1545531396,84,-16.11,167.42,84.36,6.71
Wisla,90,PL,1545530400,93,49.66,18.86,41.0,2.24
Kudahuvadhoo,0,MV,1545531400,100,2.67,72.89,81.43,10.8
Port Lincoln,0,AU,1545531402,64,-34.72,135.86,74.32,2.57
Allschwil,92,CH,1545529800,81,47.55,7.54,50.0,5.82
Kromy,92,RU,1545531407,93,52.69,35.77,28.51,12.93
Turukhansk,36,RU,1545531409,0,65.8,87.96,-44.35,3.2
Karratha,0,AU,1545531306,9,-20.74,116.85,105.96,6.89
Coihaique,0,CL,1545530400,58,-45.58,-72.07,57.2,5.82
Cestas,90,FR,1545528600,100,44.74,-0.68,57.2,4.7
Bethel,90,US,1545530160,86,60.79,-161.76,3.02,19.46
Miyako,75,JP,1545530400,87,33.63,130.94,55.4,2.24
Mount Gambier,0,AU,1545530400,46,-37.83,140.78,71.6,5.82
George Town,75,MY,1545528600,78,5.42,100.33,82.4,3.36
Aksarka,12,RU,1545531427,50,66.56,67.8,-29.63,16.44
Saint-Georges,88,CA,1545531429,70,46.12,-70.67,26.44,11.74
Puerto Escondido,20,MX,1545529260,65,15.86,-97.07,77.0,1.97
Naze,0,NG,1545531434,75,5.43,7.07,76.44,8.05
Lasa,90,CY,1545528600,81,34.92,32.53,51.8,6.93
Sorland,92,NO,1545531439,100,67.67,12.69,39.67,22.03
Santa Rosa,0,AR,1545531442,42,-36.62,-64.29,77.16,13.31
Yatou,40,CM,1545526800,94,3.63,9.81,78.8,1.12
Cornwall,75,CA,1545530100,70,45.02,-74.73,21.2,19.46
Tilichiki,80,RU,1545531449,65,60.47,166.1,-14.65,4.99
Jurm,32,AF,1545531451,60,36.86,70.83,9.84,1.79
Abyek,0,IR,1545530400,92,36.04,50.53,28.4,2.35
Algiers,1,US,1545530100,85,29.94,-90.04,59.0,4.7
Liverpool,75,GB,1545529800,87,53.41,-2.98,44.6,3.36
Merauke,44,ID,1545531460,89,-8.49,140.4,85.44,8.05
Laguna,40,MX,1545529560,59,27.52,-110.01,62.6,2.01
Gisborne,80,NZ,1545531282,76,-38.66,178.02,67.39,7.34
Karwar,0,IN,1545531467,66,14.8,74.13,77.34,3.47
Coquimbo,0,CL,1545530400,87,-29.95,-71.34,59.0,5.59
Rundu,0,NA,1545531471,71,-17.91,19.77,66.94,3.24
La Ronge,90,CA,1545526800,85,55.1,-105.3,10.4,6.93
Ketchikan,90,US,1545529980,54,55.34,-131.65,42.08,23.04
Wahiawa,1,US,1545530220,62,21.5,-158.02,82.04,13.87
Margate,40,AU,1545530400,40,-43.03,147.26,69.8,16.11
Kolvereid,0,NO,1545531482,100,64.86,11.6,16.86,4.76
Daru,0,SL,1545531485,76,7.99,-10.85,70.54,2.35
Inhuma,92,BR,1545531487,75,-6.67,-41.71,73.74,5.21
Zonguldak,68,TR,1545531489,93,41.25,31.83,38.14,4.99
Ancud,90,CL,1545530400,76,-41.87,-73.83,53.6,4.7
Lucapa,92,AO,1545531494,98,-8.42,20.74,66.49,2.53
Princeton,90,US,1545530100,89,41.37,-89.46,35.24,10.29
Sydney,20,AU,1545530400,68,-33.85,151.22,71.6,17.22
Hofn,8,IS,1545531214,100,64.25,-15.21,39.13,7.49
Kivertsi,92,UA,1545531502,94,50.83,25.46,33.24,23.44
Voronovytsya,76,UA,1545531505,95,49.11,28.68,36.34,18.3
Valleyview,0,CA,1545531507,53,55.07,-117.28,2.86,3.47
Bhimunipatnam,20,IN,1545530400,73,17.88,83.43,69.8,2.24
Sidney,90,US,1545530100,73,47.72,-104.16,28.04,18.34
Lipari,40,IT,1545526500,77,38.47,14.95,59.0,5.82
Zaysan,0,KZ,1545531516,0,47.47,84.87,-23.87,2.86
Sarangani,0,PH,1545531518,97,5.4,125.46,83.19,16.89
Airai,92,TL,1545531520,92,-8.93,125.41,73.96,2.24
Sabang,92,PH,1545531522,100,13.72,123.58,76.89,6.33
Komsomolskiy,80,RU,1545531525,71,67.55,63.78,-2.05,16.84
Nishihara,75,JP,1545530400,66,35.74,139.53,53.6,3.36
Asuncion,75,PY,1545530400,94,-25.3,-57.63,77.0,4.7
Emmett,75,US,1545530160,77,43.87,-116.5,35.06,6.93
Baykit,0,RU,1545531534,0,61.68,96.39,-42.82,4.99
Katsuura,20,JP,1545530400,82,33.93,134.5,55.4,1.12
Kargasok,0,RU,1545531538,25,59.06,80.87,-16.94,5.99
Heiligenhafen,92,DE,1545531540,100,54.37,10.98,38.82,12.26
Abalak,0,NE,1545531542,45,15.46,6.28,51.1,10.25
Olocuilta,0,SV,1545529800,60,13.57,-89.12,75.2,8.05
San Andres,88,PH,1545531547,100,13.32,122.68,79.77,18.57
Kirensk,44,RU,1545531549,63,57.78,108.12,2.91,3.8
Corralillo,0,CU,1545531552,100,22.98,-80.59,63.79,7.56
Dingle,92,PH,1545531554,100,11.0,122.67,74.5,2.01
Dunedin,0,NZ,1545531452,75,-45.87,170.5,59.11,9.13
Casablanca,0,MA,1545530400,93,33.6,-7.62,50.0,5.82
Tambun,75,MY,1545530400,69,4.62,101.14,84.2,5.82
Faya,20,SA,1545526800,87,18.39,42.45,57.2,5.82
Duma,0,SY,1545531565,100,33.57,36.4,34.36,2.57
Kandrian,64,PG,1545531567,81,-6.21,149.55,83.95,3.69
Lander,1,US,1545526380,56,42.83,-108.73,21.92,4.7
Geraldton,75,CA,1545530400,77,49.72,-86.95,-2.21,2.24
Pocone,56,BR,1545531402,84,-16.26,-56.62,76.93,2.46
Orange Walk,40,JM,1545530400,78,17.93,-76.27,78.8,5.82
Nioro,0,GM,1545531578,38,13.79,-15.05,69.37,10.8
Bethlehem,90,US,1545530100,55,40.62,-75.38,41.0,13.87
Bay City,90,US,1545531300,100,43.59,-83.89,32.0,4.25
Indramayu,64,ID,1545531585,88,-4.05,103.78,77.29,2.35
Westport,92,IE,1545531358,100,53.8,-9.52,45.39,7.23
Bilma,0,NE,1545531590,65,18.69,12.92,44.62,3.2
Cockburn Town,24,TC,1545531592,100,21.46,-71.14,79.54,10.29
Pisco,0,PE,1545530400,83,-13.71,-76.2,69.8,17.22
Novikovo,92,UA,1545531596,100,45.05,34.56,39.31,8.01
Lambarene,36,GA,1545531598,100,-0.7,10.22,73.56,2.08
Uni,76,RU,1545531601,86,57.75,51.49,4.89,8.9
Ouadda,0,CF,1545531603,39,8.07,22.4,64.6,10.8
Puerto Penasco,0,MX,1545531606,96,31.32,-113.53,64.06,1.97
Bibiani,0,GH,1545531608,89,6.45,-2.31,72.07,5.37
Mandalgovi,0,MN,1545531610,48,45.76,106.27,-0.56,10.63
Carutapera,64,BR,1545531613,95,-1.2,-46.02,77.11,6.22
Codrington,40,AU,1545530400,50,-28.95,153.24,80.6,17.22
Polunochnoye,36,RU,1545531617,67,60.87,60.43,-4.34,4.47
San Pedro,0,AR,1545531621,69,-33.68,-59.66,70.72,10.13
